Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.847000,18.865000,0.290000,19.155000,0.749000
Pitot-Static Switch,PITOT-STATIC,3.292000,1.902000,0.060000,1.962000,0.802000
ENGINE ANTI-ICE Switches,AS REQUIRED,4.915000,3.506000,0.030000,3.536000,0.652000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,4.896000,3.556000,0.070000,3.626000,0.800000
PAX SAFETY Switch,PAX SAFETY,3.306000,1.903000,0.030000,1.933000,0.752000
LANDING Light Switch,AS DESIRED,6.835000,2.958000,0.030000,2.988000,0.752000
ANTI-COLL Light Switch,ON,4.238000,3.006000,0.030000,3.036000,0.501000
EICAS,CHECKED,3.314000,1.856000,0.030000,1.886000,0.705000
Winds,CHECK,5.506000,2.756000,0.030000,2.786000,0.753000
Select Altitude,PRESET AS CLEARED,5.662000,4.309000,0.030000,4.339000,0.702000
