Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,3.057000,19.700000,3000.730000,3020.430000,0.000000
Pitot-Static Switch,PITOT-STATIC,8.273000,27.288000,0.390000,27.678000,1.003000
ENGINE ANTI-ICE Switches,AS REQUIRED,8.377000,17.576000,8000.140000,8017.716000,0.851000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,13.027000,11.618000,0.190000,11.808000,0.900000
PAX SAFETY Switch,PAX SAFETY,6.253000,6.314000,6000.410000,6006.724000,0.552000
LANDING Light Switch,AS DESIRED,5.321000,3.206000,0.210000,3.416000,0.902000
ANTI-COLL Light Switch,ON,7.825000,6.109000,6000.330000,6006.439000,0.500000
EICAS,CHECKED,4.155000,1.854000,0.030000,1.884000,0.602000
Winds,CHECK,6.252000,2.854000,6000.330000,6003.184000,0.801000
Select Altitude,PRESET AS CLEARED,6.249000,5.010000,6000.460000,6005.470000,1.101000
