Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.879000,18.907000,0.340000,19.247000,0.803000
Pitot-Static Switch,PITOT-STATIC,3.296000,1.904000,0.070000,1.974000,0.802000
ENGINE ANTI-ICE Switches,AS REQUIRED,7.993000,3.505000,0.030000,3.535000,0.652000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,4.907000,3.510000,0.030000,3.540000,0.753000
PAX SAFETY Switch,PAX SAFETY,5.768000,1.905000,0.030000,1.935000,0.702000
LANDING Light Switch,AS DESIRED,4.296000,2.956000,0.030000,2.986000,0.651000
ANTI-COLL Light Switch,ON,7.902000,2.958000,0.040000,2.998000,0.751000
EICAS,CHECKED,3.137000,1.855000,0.030000,1.885000,0.550000
Winds,CHECK,5.162000,2.756000,0.040000,2.796000,0.652000
Select Altitude,PRESET AS CLEARED,5.722000,4.304000,0.030000,4.334000,0.753000
