Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.832000,18.834000,0.340000,19.174000,0.702000
Pitot-Static Switch,PITOT-STATIC,5.357000,1.903000,0.060000,1.963000,0.803000
ENGINE ANTI-ICE Switches,AS REQUIRED,4.913000,3.507000,0.150000,3.657000,0.652000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,5.974000,3.507000,0.030000,3.537000,0.749000
PAX SAFETY Switch,PAX SAFETY,3.243000,1.854000,0.030000,1.884000,0.692000
LANDING Light Switch,AS DESIRED,5.774000,2.956000,0.030000,2.986000,0.652000
ANTI-COLL Light Switch,ON,4.355000,2.957000,0.030000,2.987000,0.692000
EICAS,CHECKED,5.673000,1.854000,0.030000,1.884000,0.701000
Winds,CHECK,5.160000,2.755000,0.030000,2.785000,0.702000
Select Altitude,PRESET AS CLEARED,5.670000,4.310000,0.150000,4.460000,0.702000
