Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.874000,18.871000,0.330000,19.201000,0.752000
Pitot-Static Switch,PITOT-STATIC,4.291000,1.905000,0.070000,1.975000,0.852000
ENGINE ANTI-ICE Switches,AS REQUIRED,4.916000,3.563000,0.030000,3.593000,0.704000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,4.955000,3.566000,0.030000,3.596000,0.802000
PAX SAFETY Switch,PAX SAFETY,3.241000,1.906000,0.030000,1.936000,0.603000
LANDING Light Switch,AS DESIRED,5.414000,3.006000,0.030000,3.036000,0.702000
ANTI-COLL Light Switch,ON,4.341000,3.003000,0.030000,3.033000,0.702000
EICAS,CHECKED,3.241000,1.802000,0.040000,1.842000,0.551000
Winds,CHECK,4.111000,2.753000,0.030000,2.783000,0.751000
Select Altitude,PRESET AS CLEARED,8.458000,4.258000,0.030000,4.288000,0.702000
