uuid;timestamp;agent;source;type;igs_timestamp;value
19ca5c40-0244-11f1-8f29-9533d9ce85de;1770280693.893;Cognitive_Model;start;4;;true
19ca5c41-0244-11f1-8f29-9533d9ce85de;1770280693.893;Cognitive_Model;production_selected;3;;get-where-should-i-look-next
19d09dd0-0244-11f1-8f29-9533d9ce85de;1770280693.934;TARS Agent;request_takeoff_clearance;5;;
19d0c4e0-0244-11f1-8f29-9533d9ce85de;1770280693.934;ATC_Agent;speech_output;3;;C-POLY, Montreal-Tower, wind-0-9-0-at-4, cleared-for-takeoff runway-zero-six-left. Climb-to-5000ft.
19d0c4e1-0244-11f1-8f29-9533d9ce85de;1770280693.934;TARS Agent;action_time;3;;transition_action:0.29
19d0c4e2-0244-11f1-8f29-9533d9ce85de;1770280693.934;ATC_Agent;is_speaking;4;;true
19d0c4e3-0244-11f1-8f29-9533d9ce85de;1770280693.934;TARS Agent;current_state;3;;"{""procedure"": ""BEFORE TAKEOFF"", ""classification"": ""NORM"", ""type"": ""Checklist"", ""category"": ""Switch / Lever"", ""task_object"": ""Takeoff clearance"", ""value"": ""CONFIRM"", ""human_role"": ""supporter"", ""autonomy_role"": ""performer"", ""information_requirement"": ""ATC clearance status, checklist completion status."", ""interaction"": """", ""delay_before_action"": 3.0, ""delay_after_action"": 0.0, ""callout"": ""Cessna Charlie Papa Oscar Lima Yankee cleared for takeoff, will maintain runway heading, climb to 5000ft proceed direct AGMEB then OMEKI"", ""condition"": null, ""condition_type"": null, ""condition_function"": null, ""monitor_scope"": null}"
19d0c4e4-0244-11f1-8f29-9533d9ce85de;1770280693.934;TARS Agent;current_procedure;3;;BEFORE TAKEOFF
19d0c4e5-0244-11f1-8f29-9533d9ce85de;1770280693.934;TARS Agent;interaction_message;3;;
19d0c4e6-0244-11f1-8f29-9533d9ce85de;1770280693.934;TARS Agent;current_task_object;3;;Takeoff clearance
19d0c4e7-0244-11f1-8f29-9533d9ce85de;1770280693.934;TARS Agent;current_task_value;3;;CONFIRM
19d0c4e8-0244-11f1-8f29-9533d9ce85de;1770280693.934;TARS Agent;current_task_autonomy_role;3;;performer
19d0c4e9-0244-11f1-8f29-9533d9ce85de;1770280693.934;TARS Agent;current_task_human_role;3;;supporter
19d0c4ea-0244-11f1-8f29-9533d9ce85de;1770280693.934;TARS Agent;next_state;3;;"{""procedure"": ""BEFORE TAKEOFF"", ""classification"": ""NORM"", ""type"": ""Checklist"", ""category"": ""Switch / Lever"", ""task_object"": ""Pitot-Static Switch"", ""value"": ""PITOT-STATIC"", ""human_role"": ""supporter"", ""autonomy_role"": ""performer"", ""information_requirement"": ""Pitot-static switch status"", ""interaction"": ""pitot_static_switch"", ""delay_before_action"": 0.0, ""delay_after_action"": 8.0, ""callout"": """", ""condition"": null, ""condition_type"": null, ""condition_function"": null, ""monitor_scope"": null}"
19d0c4eb-0244-11f1-8f29-9533d9ce85de;1770280693.934;TARS Agent;countdown_current;1;;true
19d0c4ec-0244-11f1-8f29-9533d9ce85de;1770280693.934;TARS Agent;countdown_max_current;1;;true
19d0c4ed-0244-11f1-8f29-9533d9ce85de;1770280693.935;TARS Agent;countdown_next;1;;false
19d0c4ee-0244-11f1-8f29-9533d9ce85de;1770280693.935;TARS Agent;countdown_max_next;1;;false
19d0c4ef-0244-11f1-8f29-9533d9ce85de;1770280693.935;TARS Agent;action_time;3;;delay_before_action:3000.00
