Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,3.061000,10.475000,3000.920000,3011.395000,0.000000
Pitot-Static Switch,PITOT-STATIC,8.271000,14.171000,0.470000,14.641000,1.151000
ENGINE ANTI-ICE Switches,AS REQUIRED,8.248000,7.764000,8000.310000,8008.074000,1.352000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,15.430000,4.556000,0.290000,4.846000,0.902000
PAX SAFETY Switch,PAX SAFETY,6.252000,4.558000,6000.330000,6004.888000,0.852000
LANDING Light Switch,AS DESIRED,4.809000,1.604000,0.160000,1.764000,0.952000
ANTI-COLL Light Switch,ON,6.253000,3.156000,6000.310000,6003.466000,0.451000
EICAS,CHECKED,4.353000,6.058000,0.030000,6.088000,0.652000
Winds,CHECK,6.251000,1.801000,6000.170000,6001.971000,0.903000
Select Altitude,PRESET AS CLEARED,6.276000,2.903000,0.500000,3.403000,1.151000
