Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,0.053000,10.116000,0.610000,10.726000,0.000000
Pitot-Static Switch,PITOT-STATIC,2.056000,21.611000,2000.470000,2022.081000,0.000000
ENGINE ANTI-ICE Switches,AS REQUIRED,8.003000,12.975000,0.190000,13.165000,0.859000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,15.637000,3.210000,0.180000,3.390000,0.950000
PAX SAFETY Switch,PAX SAFETY,0.051000,6.080000,0.310000,6.390000,0.000000
LANDING Light Switch,AS DESIRED,5.887000,1.809000,0.140000,1.949000,0.802000
ANTI-COLL Light Switch,ON,6.387000,2.861000,0.450000,3.311000,0.453000
EICAS,CHECKED,4.195000,0.000000,0.030000,0.030000,0.500000
Winds,CHECK,4.248000,0.000000,0.160000,0.160000,0.855000
Select Altitude,PRESET AS CLEARED,0.051000,0.000000,0.440000,0.440000,0.000000
