Metric,Value
Total_FSM_Time_s,64.580000
Total_Human_Active_Time_s,44.530000
Total_TARS_Execution_Time_s,0.590000
Total_Active_Duration_s,45.120000
Total_Coordination_Time_s,6.969001
Active_Percentage,69.87
Coordination_Percentage,10.79
Num_Tasks,10
