Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.823000,18.836000,0.320000,19.156000,0.703000
Pitot-Static Switch,PITOT-STATIC,3.245000,1.906000,0.060000,1.966000,0.602000
ENGINE ANTI-ICE Switches,AS REQUIRED,4.963000,3.557000,0.030000,3.587000,0.751000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,4.919000,3.596000,0.030000,3.626000,0.602000
PAX SAFETY Switch,PAX SAFETY,3.274000,1.853000,0.030000,1.883000,0.551000
LANDING Light Switch,AS DESIRED,6.434000,3.008000,0.030000,3.038000,0.653000
ANTI-COLL Light Switch,ON,4.352000,2.958000,0.030000,2.988000,0.653000
EICAS,CHECKED,3.241000,1.854000,0.030000,1.884000,0.602000
Winds,CHECK,4.154000,2.759000,0.030000,2.789000,0.752000
Select Altitude,PRESET AS CLEARED,5.666000,4.300000,0.030000,4.330000,0.752000
