Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,3.053000,34.224000,3000.880000,3035.104000,0.000000
Pitot-Static Switch,PITOT-STATIC,8.260000,33.204000,8000.410000,8033.614000,1.002000
ENGINE ANTI-ICE Switches,AS REQUIRED,9.532000,22.385000,0.150000,22.535000,0.600000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,13.359000,9.014000,0.210000,9.224000,0.850000
PAX SAFETY Switch,PAX SAFETY,6.300000,1.651000,0.430000,2.081000,0.901000
LANDING Light Switch,AS DESIRED,4.065000,3.205000,6000.160000,6003.365000,1.003000
ANTI-COLL Light Switch,ON,6.249000,3.157000,6000.410000,6003.567000,0.601000
EICAS,CHECKED,0.054000,2.855000,0.030000,2.885000,0.000000
Winds,CHECK,6.258000,5.761000,6000.280000,6006.041000,0.851000
Select Altitude,PRESET AS CLEARED,6.248000,0.000000,6000.470000,6000.470000,0.551000
