Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,0.051000,10.108000,0.630000,10.738000,0.000000
Pitot-Static Switch,PITOT-STATIC,2.043000,21.639000,2000.590000,2022.229000,0.000000
ENGINE ANTI-ICE Switches,AS REQUIRED,8.008000,12.925000,0.200000,13.125000,0.854000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,15.691000,3.156000,0.170000,3.326000,0.901000
PAX SAFETY Switch,PAX SAFETY,0.049000,7.114000,0.340000,7.454000,0.000000
LANDING Light Switch,AS DESIRED,5.922000,1.802000,0.150000,1.952000,0.951000
ANTI-COLL Light Switch,ON,5.316000,2.905000,0.320000,3.225000,0.502000
EICAS,CHECKED,4.955000,0.000000,0.030000,0.030000,0.652000
Winds,CHECK,6.338000,0.000000,0.200000,0.200000,0.852000
Select Altitude,PRESET AS CLEARED,0.048000,0.000000,0.510000,0.510000,0.000000
