Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.833000,18.864000,0.320000,19.184000,0.761000
Pitot-Static Switch,PITOT-STATIC,4.318000,1.856000,0.060000,1.916000,0.753000
ENGINE ANTI-ICE Switches,AS REQUIRED,4.916000,3.508000,0.030000,3.538000,0.701000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,4.952000,3.558000,0.040000,3.598000,0.851000
PAX SAFETY Switch,PAX SAFETY,3.293000,1.904000,0.030000,1.934000,0.651000
LANDING Light Switch,AS DESIRED,7.445000,2.957000,0.030000,2.987000,0.654000
ANTI-COLL Light Switch,ON,6.479000,3.005000,0.030000,3.035000,0.552000
EICAS,CHECKED,4.257000,1.853000,0.030000,1.883000,0.701000
Winds,CHECK,5.520000,2.756000,0.030000,2.786000,0.752000
Select Altitude,PRESET AS CLEARED,5.659000,4.311000,0.170000,4.481000,0.702000
