Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,0.057000,10.112000,0.650000,10.762000,0.000000
Pitot-Static Switch,PITOT-STATIC,2.069000,21.636000,2000.540000,2022.176000,0.000000
ENGINE ANTI-ICE Switches,AS REQUIRED,7.960000,12.971000,0.210000,13.181000,0.901000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,15.702000,3.204000,0.150000,3.354000,0.901000
PAX SAFETY Switch,PAX SAFETY,0.050000,6.111000,0.310000,6.421000,0.000000
LANDING Light Switch,AS DESIRED,7.297000,1.803000,0.130000,1.933000,1.001000
ANTI-COLL Light Switch,ON,4.917000,2.855000,0.340000,3.195000,0.501000
EICAS,CHECKED,4.306000,0.000000,0.030000,0.030000,0.702000
Winds,CHECK,4.259000,0.000000,0.150000,0.150000,0.851000
Select Altitude,PRESET AS CLEARED,0.048000,0.000000,0.430000,0.430000,0.000000
