Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,0.049000,10.099000,0.650000,10.749000,0.000000
Pitot-Static Switch,PITOT-STATIC,2.057000,21.639000,2000.030000,2021.669000,0.000000
ENGINE ANTI-ICE Switches,AS REQUIRED,7.996000,12.923000,0.950000,13.873000,0.903000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,15.657000,3.204000,0.150000,3.354000,0.903000
PAX SAFETY Switch,PAX SAFETY,0.058000,6.110000,0.330000,6.440000,0.000000
LANDING Light Switch,AS DESIRED,9.066000,1.854000,0.140000,1.994000,1.000000
ANTI-COLL Light Switch,ON,5.164000,2.903000,0.300000,3.203000,0.500000
EICAS,CHECKED,3.999000,0.000000,0.030000,0.030000,0.701000
Winds,CHECK,5.311000,0.000000,0.140000,0.140000,0.851000
Select Altitude,PRESET AS CLEARED,0.056000,0.000000,0.470000,0.470000,0.000000
