Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.838000,18.846000,0.330000,19.176000,0.705000
Pitot-Static Switch,PITOT-STATIC,4.307000,1.855000,0.070000,1.925000,0.751000
ENGINE ANTI-ICE Switches,AS REQUIRED,4.908000,3.507000,0.030000,3.537000,0.703000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,4.906000,3.508000,0.030000,3.538000,0.801000
PAX SAFETY Switch,PAX SAFETY,3.339000,1.903000,0.030000,1.933000,0.652000
LANDING Light Switch,AS DESIRED,7.457000,2.955000,0.030000,2.985000,0.651000
ANTI-COLL Light Switch,ON,6.477000,3.005000,0.030000,3.035000,0.551000
EICAS,CHECKED,4.211000,1.853000,0.030000,1.883000,0.752000
Winds,CHECK,5.518000,2.707000,0.030000,2.737000,0.752000
Select Altitude,PRESET AS CLEARED,5.612000,4.227000,0.030000,4.257000,0.700000
