Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,3.047000,10.414000,3000.790000,3011.204000,0.000000
Pitot-Static Switch,PITOT-STATIC,8.258000,29.770000,8000.550000,8030.320000,1.004000
ENGINE ANTI-ICE Switches,AS REQUIRED,10.474000,23.354000,0.170000,23.524000,1.205000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,13.371000,17.940000,0.170000,18.110000,0.902000
PAX SAFETY Switch,PAX SAFETY,6.349000,4.611000,0.350000,4.961000,0.901000
LANDING Light Switch,AS DESIRED,4.108000,1.655000,6000.210000,6001.865000,1.003000
ANTI-COLL Light Switch,ON,6.249000,3.210000,6000.320000,6003.530000,0.702000
EICAS,CHECKED,0.056000,3.257000,0.030000,3.287000,0.000000
Winds,CHECK,6.279000,2.905000,0.270000,3.175000,0.856000
Select Altitude,PRESET AS CLEARED,6.246000,5.015000,12000.480000,12005.495000,0.955000
