Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,3.139000,10.485000,3000.870000,3011.355000,0.000000
Pitot-Static Switch,PITOT-STATIC,8.165000,28.649000,8000.380000,8029.029000,1.152000
ENGINE ANTI-ICE Switches,AS REQUIRED,9.401000,22.240000,0.150000,22.390000,1.302000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,13.372000,18.231000,0.140000,18.371000,0.900000
PAX SAFETY Switch,PAX SAFETY,6.251000,4.606000,6000.380000,6004.986000,0.902000
LANDING Light Switch,AS DESIRED,5.777000,1.653000,0.150000,1.803000,1.454000
ANTI-COLL Light Switch,ON,6.252000,5.109000,6000.390000,6005.499000,0.802000
EICAS,CHECKED,3.233000,3.205000,0.030000,3.235000,0.752000
Winds,CHECK,6.660000,3.156000,6000.180000,6003.336000,0.751000
Select Altitude,PRESET AS CLEARED,6.257000,1.854000,6000.440000,6002.294000,0.550000
