Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,3.051000,10.421000,3000.980000,3011.401000,0.000000
Pitot-Static Switch,PITOT-STATIC,8.263000,28.646000,0.460000,29.106000,1.051000
ENGINE ANTI-ICE Switches,AS REQUIRED,9.305000,22.186000,8000.180000,8022.366000,1.153000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,13.355000,18.180000,0.150000,18.330000,0.803000
PAX SAFETY Switch,PAX SAFETY,6.258000,4.559000,6000.400000,6004.959000,0.902000
LANDING Light Switch,AS DESIRED,4.149000,2.054000,0.200000,2.254000,0.952000
ANTI-COLL Light Switch,ON,6.258000,3.156000,6000.320000,6003.476000,0.652000
EICAS,CHECKED,0.046000,3.154000,0.030000,3.184000,0.000000
Winds,CHECK,6.300000,2.905000,0.200000,3.105000,0.902000
Select Altitude,PRESET AS CLEARED,6.205000,0.000000,12000.530000,12000.530000,0.000000
