Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.825000,18.822000,0.300000,19.122000,0.751000
Pitot-Static Switch,PITOT-STATIC,3.293000,1.904000,0.060000,1.964000,0.801000
ENGINE ANTI-ICE Switches,AS REQUIRED,6.279000,3.509000,0.030000,3.539000,0.701000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,4.967000,3.558000,0.030000,3.588000,0.751000
PAX SAFETY Switch,PAX SAFETY,3.243000,1.905000,0.030000,1.935000,0.703000
LANDING Light Switch,AS DESIRED,4.355000,2.955000,0.030000,2.985000,0.650000
ANTI-COLL Light Switch,ON,4.355000,2.957000,0.060000,3.017000,0.601000
EICAS,CHECKED,4.615000,1.855000,0.030000,1.885000,0.652000
Winds,CHECK,4.106000,2.703000,0.030000,2.733000,0.651000
Select Altitude,PRESET AS CLEARED,5.678000,4.262000,0.030000,4.292000,0.752000
