Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,0.053000,10.114000,0.640000,10.754000,0.000000
Pitot-Static Switch,PITOT-STATIC,2.064000,21.654000,2000.630000,2022.284000,0.000000
ENGINE ANTI-ICE Switches,AS REQUIRED,7.943000,12.974000,0.200000,13.174000,0.702000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,15.700000,3.206000,0.150000,3.356000,1.002000
PAX SAFETY Switch,PAX SAFETY,0.050000,6.111000,0.370000,6.481000,0.000000
LANDING Light Switch,AS DESIRED,5.927000,1.802000,0.150000,1.952000,1.002000
ANTI-COLL Light Switch,ON,5.271000,2.855000,0.320000,3.175000,0.500000
EICAS,CHECKED,3.951000,0.000000,0.030000,0.030000,0.700000
Winds,CHECK,4.259000,0.000000,0.150000,0.150000,0.751000
Select Altitude,PRESET AS CLEARED,0.049000,0.000000,0.450000,0.450000,0.000000
