Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.891000,18.881000,0.340000,19.221000,0.802000
Pitot-Static Switch,PITOT-STATIC,4.306000,1.902000,0.060000,1.962000,0.801000
ENGINE ANTI-ICE Switches,AS REQUIRED,4.896000,3.557000,0.030000,3.587000,0.702000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,4.916000,3.555000,0.030000,3.585000,0.802000
PAX SAFETY Switch,PAX SAFETY,3.240000,1.853000,0.050000,1.903000,0.550000
LANDING Light Switch,AS DESIRED,7.495000,3.008000,0.080000,3.088000,0.551000
ANTI-COLL Light Switch,ON,6.483000,3.006000,0.030000,3.036000,0.502000
EICAS,CHECKED,4.261000,1.853000,0.030000,1.883000,0.702000
Winds,CHECK,5.517000,2.755000,0.030000,2.785000,0.751000
Select Altitude,PRESET AS CLEARED,5.615000,4.240000,0.030000,4.270000,0.652000
