Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,33.853000,33.859000,0.000000,33.859000,1.453000
Pitot-Static Switch,PITOT-STATIC,3.496000,2.104000,0.000000,2.104000,1.502000
ENGINE ANTI-ICE Switches,AS REQUIRED,6.024000,4.657000,0.000000,4.657000,1.903000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,6.020000,4.660000,0.000000,4.660000,1.805000
PAX SAFETY Switch,PAX SAFETY,3.400000,2.002000,0.000000,2.002000,1.601000
LANDING Light Switch,AS DESIRED,4.553000,3.155000,0.000000,3.155000,1.802000
ANTI-COLL Light Switch,ON,4.609000,3.204000,0.000000,3.204000,2.354000
EICAS,CHECKED,3.191000,1.854000,0.000000,1.854000,1.302000
Winds,CHECK,4.253000,2.854000,0.000000,2.854000,1.553000
Select Altitude,PRESET AS CLEARED,5.868000,4.446000,0.000000,4.446000,1.702000
