Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,0.045000,10.095000,0.620000,10.715000,0.000000
Pitot-Static Switch,PITOT-STATIC,2.064000,21.656000,2000.590000,2022.246000,0.000000
ENGINE ANTI-ICE Switches,AS REQUIRED,7.959000,12.935000,0.190000,13.125000,0.900000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,15.701000,3.155000,0.300000,3.455000,0.951000
PAX SAFETY Switch,PAX SAFETY,0.047000,9.571000,0.340000,9.911000,0.000000
LANDING Light Switch,AS DESIRED,5.922000,1.851000,0.170000,2.021000,0.951000
ANTI-COLL Light Switch,ON,5.360000,2.858000,0.330000,3.188000,0.502000
EICAS,CHECKED,7.309000,0.000000,0.040000,0.040000,0.550000
Winds,CHECK,6.387000,0.000000,0.220000,0.220000,0.803000
Select Altitude,PRESET AS CLEARED,0.047000,0.000000,0.430000,0.430000,0.000000
