Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,0.052000,10.097000,0.720000,10.817000,0.000000
Pitot-Static Switch,PITOT-STATIC,2.067000,21.592000,2000.490000,2022.082000,0.000000
ENGINE ANTI-ICE Switches,AS REQUIRED,7.949000,12.973000,0.240000,13.213000,0.851000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,15.707000,3.204000,0.150000,3.354000,1.004000
PAX SAFETY Switch,PAX SAFETY,0.048000,6.111000,0.320000,6.431000,0.000000
LANDING Light Switch,AS DESIRED,5.888000,1.854000,0.170000,2.024000,1.002000
ANTI-COLL Light Switch,ON,5.371000,2.905000,0.370000,3.275000,0.450000
EICAS,CHECKED,3.846000,0.000000,0.030000,0.030000,0.652000
Winds,CHECK,7.792000,0.000000,0.150000,0.150000,0.851000
Select Altitude,PRESET AS CLEARED,0.051000,0.000000,0.440000,0.440000,0.000000
