Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,3.067000,10.424000,3000.520000,3010.944000,0.000000
Pitot-Static Switch,PITOT-STATIC,8.289000,23.446000,0.480000,23.926000,1.053000
ENGINE ANTI-ICE Switches,AS REQUIRED,17.430000,16.980000,8000.150000,8017.130000,1.402000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,5.975000,11.871000,0.210000,12.081000,0.851000
PAX SAFETY Switch,PAX SAFETY,6.287000,4.607000,0.400000,5.007000,0.853000
LANDING Light Switch,AS DESIRED,5.732000,1.603000,6000.140000,6001.743000,1.452000
ANTI-COLL Light Switch,ON,6.258000,5.159000,6000.340000,6005.499000,0.702000
EICAS,CHECKED,0.099000,3.156000,0.030000,3.186000,0.000000
Winds,CHECK,6.258000,3.205000,6000.230000,6003.435000,0.852000
Select Altitude,PRESET AS CLEARED,6.249000,2.905000,6000.440000,6003.345000,0.602000
