Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.888000,18.850000,0.420000,19.270000,0.704000
Pitot-Static Switch,PITOT-STATIC,3.229000,1.852000,0.060000,1.912000,0.751000
ENGINE ANTI-ICE Switches,AS REQUIRED,6.289000,3.509000,0.030000,3.539000,0.651000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,4.910000,3.506000,0.030000,3.536000,0.750000
PAX SAFETY Switch,PAX SAFETY,3.287000,1.854000,0.030000,1.884000,0.703000
LANDING Light Switch,AS DESIRED,4.403000,3.011000,0.030000,3.041000,0.753000
ANTI-COLL Light Switch,ON,4.350000,3.006000,0.030000,3.036000,0.702000
EICAS,CHECKED,4.611000,1.853000,0.030000,1.883000,0.701000
Winds,CHECK,4.123000,2.707000,0.030000,2.737000,0.702000
Select Altitude,PRESET AS CLEARED,5.651000,4.267000,0.030000,4.297000,0.652000
