uuid;timestamp;agent;source;type;igs_timestamp;value
2fcba430-0245-11f1-8f29-9533d9ce85de;1770281160.308;Cognitive_Model;start;4;;true
2fd1e5c0-0245-11f1-8f29-9533d9ce85de;1770281160.348;Cognitive_Model;production_selected;3;;get-where-should-i-look-next
2fd34550-0245-11f1-8f29-9533d9ce85de;1770281160.358;Cognitive_Model;production_selected;3;;attend-to-next-aoi
2fd4cbf0-0245-11f1-8f29-9533d9ce85de;1770281160.368;ATC_Agent;speech_output;3;;C-POLY, Montreal-Tower, wind-0-9-0-at-4, cleared-for-takeoff runway-zero-six-left. Climb-to-5000ft.
2fd4cbf1-0245-11f1-8f29-9533d9ce85de;1770281160.368;ATC_Agent;is_speaking;4;;true
2fd4cbf2-0245-11f1-8f29-9533d9ce85de;1770281160.368;TARS Agent;request_takeoff_clearance;5;;
2fd4cbf3-0245-11f1-8f29-9533d9ce85de;1770281160.368;TARS Agent;action_time;3;;transition_action:0.29
2fd4cbf4-0245-11f1-8f29-9533d9ce85de;1770281160.368;TARS Agent;current_state;3;;"{""procedure"": ""BEFORE TAKEOFF"", ""classification"": ""NORM"", ""type"": ""Checklist"", ""category"": ""Switch / Lever"", ""task_object"": ""Takeoff clearance"", ""value"": ""CONFIRM"", ""human_role"": ""supporter"", ""autonomy_role"": ""performer"", ""information_requirement"": ""ATC clearance status, checklist completion status."", ""interaction"": """", ""delay_before_action"": 3.0, ""delay_after_action"": 0.0, ""callout"": ""Cessna Charlie Papa Oscar Lima Yankee cleared for takeoff, will maintain runway heading, climb to 5000ft proceed direct AGMEB then OMEKI"", ""condition"": null, ""condition_type"": null, ""condition_function"": null, ""monitor_scope"": null}"
2fd4cbf5-0245-11f1-8f29-9533d9ce85de;1770281160.368;TARS Agent;current_procedure;3;;BEFORE TAKEOFF
2fd4cbf6-0245-11f1-8f29-9533d9ce85de;1770281160.368;TARS Agent;interaction_message;3;;
2fd4cbf7-0245-11f1-8f29-9533d9ce85de;1770281160.368;TARS Agent;current_task_object;3;;Takeoff clearance
2fd4cbf8-0245-11f1-8f29-9533d9ce85de;1770281160.368;TARS Agent;current_task_value;3;;CONFIRM
2fd4cbf9-0245-11f1-8f29-9533d9ce85de;1770281160.368;TARS Agent;current_task_autonomy_role;3;;performer
2fd4f300-0245-11f1-8f29-9533d9ce85de;1770281160.368;TARS Agent;current_task_human_role;3;;supporter
2fd4f301-0245-11f1-8f29-9533d9ce85de;1770281160.368;TARS Agent;next_state;3;;"{""procedure"": ""BEFORE TAKEOFF"", ""classification"": ""NORM"", ""type"": ""Checklist"", ""category"": ""Switch / Lever"", ""task_object"": ""Pitot-Static Switch"", ""value"": ""PITOT-STATIC"", ""human_role"": ""supporter"", ""autonomy_role"": ""performer"", ""information_requirement"": ""Pitot-static switch status"", ""interaction"": ""pitot_static_switch"", ""delay_before_action"": 0.0, ""delay_after_action"": 8.0, ""callout"": """", ""condition"": null, ""condition_type"": null, ""condition_function"": null, ""monitor_scope"": null}"
2fd4f302-0245-11f1-8f29-9533d9ce85de;1770281160.368;TARS Agent;countdown_current;1;;true
2fd4f303-0245-11f1-8f29-9533d9ce85de;1770281160.368;TARS Agent;countdown_max_current;1;;true
2fd4f304-0245-11f1-8f29-9533d9ce85de;1770281160.368;TARS Agent;countdown_next;1;;false
2fd4f305-0245-11f1-8f29-9533d9ce85de;1770281160.368;TARS Agent;countdown_max_next;1;;false
2fd4f306-0245-11f1-8f29-9533d9ce85de;1770281160.368;TARS Agent;action_time;3;;delay_before_action:3000.00
2fe2aea0-0245-11f1-8f29-9533d9ce85de;1770281160.458;Cognitive_Model;production_selected;3;;encode-aoi-information
2ffe4cf0-0245-11f1-8f29-9533d9ce85de;1770281160.640;Aircraft;cabin_altitude;2;;104.100000
30107560-0245-11f1-8f29-9533d9ce85de;1770281160.759;Cognitive_Model;production_selected;3;;detected-sound
3017ef70-0245-11f1-8f29-9533d9ce85de;1770281160.808;Cognitive_Model;production_selected;3;;encode-sound
30369b00-0245-11f1-8f29-9533d9ce85de;1770281161.008;Cognitive_Model;production_selected;3;;retrieve-self-callsign
305b12f0-0245-11f1-8f29-9533d9ce85de;1770281161.248;Aircraft;cabin_altitude;2;;104.000000
306461c0-0245-11f1-8f29-9533d9ce85de;1770281161.309;Cognitive_Model;production_selected;3;;is-our-callsign
30c98c30-0245-11f1-8f29-9533d9ce85de;1770281161.971;Aircraft;cabin_altitude;2;;103.900000
30d91c90-0245-11f1-8f29-9533d9ce85de;1770281162.074;Aircraft;e1_n1_percent;2;;23.400000
30d91c91-0245-11f1-8f29-9533d9ce85de;1770281162.074;Aircraft;e2_n1_percent;2;;23.400000
30fd1f50-0245-11f1-8f29-9533d9ce85de;1770281162.309;Cognitive_Model;production_selected;3;;3-form-task-object-item-representation
31236c00-0245-11f1-8f29-9533d9ce85de;1770281162.560;Cognitive_Model;production_selected;3;;2-1-visually-attend-current-task-value
31374220-0245-11f1-8f29-9533d9ce85de;1770281162.691;Aircraft;cabin_altitude;2;;103.800000
3141f080-0245-11f1-8f29-9533d9ce85de;1770281162.760;Cognitive_Model;production_selected;3;;2-2-visually-encode-task-value-item
314991a0-0245-11f1-8f29-9533d9ce85de;1770281162.811;Cognitive_Model;production_selected;3;;2-3-form-task-value-item-representation
31683d30-0245-11f1-8f29-9533d9ce85de;1770281163.011;Cognitive_Model;production_selected;3;;x-4-not-wait-task
31777f70-0245-11f1-8f29-9533d9ce85de;1770281163.111;Cognitive_Model;production_selected;3;;x-5-not-n-a-task-continue
3186c1b0-0245-11f1-8f29-9533d9ce85de;1770281163.212;Cognitive_Model;production_selected;3;;detected-sound
319ae5f0-0245-11f1-8f29-9533d9ce85de;1770281163.344;Aircraft;cabin_altitude;2;;103.700000
31a08b40-0245-11f1-8f29-9533d9ce85de;1770281163.381;Shared Interface;countdown_complete;5;;
31a08b41-0245-11f1-8f29-9533d9ce85de;1770281163.381;TARS Agent;action_about_to_fire;3;;"{""procedure"": ""BEFORE TAKEOFF"", ""classification"": ""NORM"", ""type"": ""Checklist"", ""category"": ""Switch / Lever"", ""task_object"": ""Takeoff clearance"", ""value"": ""CONFIRM"", ""human_role"": ""supporter"", ""autonomy_role"": ""performer"", ""information_requirement"": ""ATC clearance status, checklist completion status."", ""interaction"": """", ""delay_before_action"": 3.0, ""delay_after_action"": 0.0, ""callout"": ""Cessna Charlie Papa Oscar Lima Yankee cleared for takeoff, will maintain runway heading, climb to 5000ft proceed direct AGMEB then OMEKI"", ""condition"": null, ""condition_type"": null, ""condition_function"": null, ""monitor_scope"": null}"
31a14e90-0245-11f1-8f29-9533d9ce85de;1770281163.385;TARS Agent;action_time;3;;action:0.62
31a964e0-0245-11f1-8f29-9533d9ce85de;1770281163.439;TARS Agent;action_time;3;;transition_action:0.04
31a964e1-0245-11f1-8f29-9533d9ce85de;1770281163.439;TTS_Agent;is_speaking;4;;true
31a964e2-0245-11f1-8f29-9533d9ce85de;1770281163.439;Shared Interface;countdown_complete;5;;
31a964e3-0245-11f1-8f29-9533d9ce85de;1770281163.439;TARS Agent;current_state;3;;"{""procedure"": ""BEFORE TAKEOFF"", ""classification"": ""NORM"", ""type"": ""Checklist"", ""category"": ""Switch / Lever"", ""task_object"": ""Pitot-Static Switch"", ""value"": ""PITOT-STATIC"", ""human_role"": ""supporter"", ""autonomy_role"": ""performer"", ""information_requirement"": ""Pitot-static switch status"", ""interaction"": ""pitot_static_switch"", ""delay_before_action"": 0.0, ""delay_after_action"": 8.0, ""callout"": """", ""condition"": null, ""condition_type"": null, ""condition_function"": null, ""monitor_scope"": null}"
31a98bf0-0245-11f1-8f29-9533d9ce85de;1770281163.439;TTS_Agent;current_text;3;;Pitot heat is ON
31a98bf1-0245-11f1-8f29-9533d9ce85de;1770281163.439;TARS Agent;current_procedure;3;;BEFORE TAKEOFF
31a98bf2-0245-11f1-8f29-9533d9ce85de;1770281163.439;TARS Agent;interaction_message;3;;
31a98bf3-0245-11f1-8f29-9533d9ce85de;1770281163.439;TARS Agent;current_task_object;3;;Pitot-Static Switch
31a98bf4-0245-11f1-8f29-9533d9ce85de;1770281163.439;TARS Agent;current_task_value;3;;PITOT-STATIC
31a98bf5-0245-11f1-8f29-9533d9ce85de;1770281163.439;TARS Agent;current_task_autonomy_role;3;;performer
31a98bf6-0245-11f1-8f29-9533d9ce85de;1770281163.439;TARS Agent;current_task_human_role;3;;supporter
31a98bf7-0245-11f1-8f29-9533d9ce85de;1770281163.439;TARS Agent;next_state;3;;"{""procedure"": ""BEFORE TAKEOFF"", ""classification"": ""NORM"", ""type"": ""Checklist"", ""category"": ""Switch / Lever"", ""task_object"": ""ENGINE ANTI-ICE Switches"", ""value"": ""AS REQUIRED"", ""human_role"": ""performer"", ""autonomy_role"": ""supporter"", ""information_requirement"": ""Outside air temperature, engine anti-ice switch position."", ""interaction"": ""engine_anti_ice_requirement"", ""delay_before_action"": 0.0, ""delay_after_action"": ""is_acked"", ""callout"": """", ""condition"": null, ""condition_type"": null, ""condition_function"": null, ""monitor_scope"": null}"
31a98bf8-0245-11f1-8f29-9533d9ce85de;1770281163.439;TARS Agent;countdown_next;1;;true
31a98bf9-0245-11f1-8f29-9533d9ce85de;1770281163.439;TARS Agent;countdown_max_next;1;;true
31a98bfa-0245-11f1-8f29-9533d9ce85de;1770281163.439;TARS Agent;action_about_to_fire;3;;"{""procedure"": ""BEFORE TAKEOFF"", ""classification"": ""NORM"", ""type"": ""Checklist"", ""category"": ""Switch / Lever"", ""task_object"": ""Pitot-Static Switch"", ""value"": ""PITOT-STATIC"", ""human_role"": ""supporter"", ""autonomy_role"": ""performer"", ""information_requirement"": ""Pitot-static switch status"", ""interaction"": ""pitot_static_switch"", ""delay_before_action"": 0.0, ""delay_after_action"": 8.0, ""callout"": """", ""condition"": null, ""condition_type"": null, ""condition_function"": null, ""monitor_scope"": null}"
31a98bfb-0245-11f1-8f29-9533d9ce85de;1770281163.439;TARS Agent;interaction_message;3;;"{""message"": ""CAUTION\\n\\nLIMIT GROUND OPERATION OF PITOT-STATIC HEAT TO TWO MINUTES TO PRECLUDE DAMAGE TO THE PITOT-STATIC AND STALL WARNING HEATERS."", ""tars_input"": ""Pitot heat is ON.""}"
31a98bfc-0245-11f1-8f29-9533d9ce85de;1770281163.439;TARS Agent;tts_request;3;;Pitot heat is ON
31a98bfd-0245-11f1-8f29-9533d9ce85de;1770281163.440;TARS Agent;action_time;3;;action:0.39
31b3ec30-0245-11f1-8f29-9533d9ce85de;1770281163.508;TTS_Agent;is_speaking;4;;false
31b41340-0245-11f1-8f29-9533d9ce85de;1770281163.508;TTS_Agent;current_text;3;;
31d30cf0-0245-11f1-8f29-9533d9ce85de;1770281163.712;Cognitive_Model;production_selected;3;;encode-sound
3200fac0-0245-11f1-8f29-9533d9ce85de;1770281164.012;Cognitive_Model;production_selected;3;;detected-sound
321211c0-0245-11f1-8f29-9533d9ce85de;1770281164.124;Aircraft;airspeed;2;;1.700000
3213bf70-0245-11f1-8f29-9533d9ce85de;1770281164.135;Aircraft;cabin_altitude;2;;103.600000
324d6d10-0245-11f1-8f29-9533d9ce85de;1770281164.513;Cognitive_Model;production_selected;3;;encode-sound
328a9d20-0245-11f1-8f29-9533d9ce85de;1770281164.914;Cognitive_Model;production_selected;3;;sound-encoded-from-tars
329e7340-0245-11f1-8f29-9533d9ce85de;1770281165.044;Aircraft;cabin_altitude;2;;103.500000
32a921a0-0245-11f1-8f29-9533d9ce85de;1770281165.115;Cognitive_Model;production_selected;3;;resume-task-has-read-task-object-from-tars
32c7cd30-0245-11f1-8f29-9533d9ce85de;1770281165.315;Cognitive_Model;production_selected;3;;2-1-visually-attend-current-task-value
32d70f70-0245-11f1-8f29-9533d9ce85de;1770281165.416;Cognitive_Model;production_selected;3;;2-2-visually-encode-task-value-item
32deb090-0245-11f1-8f29-9533d9ce85de;1770281165.466;Cognitive_Model;production_selected;3;;2-3-form-task-value-item-representation
32edf2d0-0245-11f1-8f29-9533d9ce85de;1770281165.566;Cognitive_Model;production_selected;3;;x-4-not-wait-task
330c7750-0245-11f1-8f29-9533d9ce85de;1770281165.766;Cognitive_Model;production_selected;3;;x-5-not-n-a-task-continue
33141870-0245-11f1-8f29-9533d9ce85de;1770281165.816;Cognitive_Model;production_selected;3;;x-6-not-waiting-new-task-both
331be0a0-0245-11f1-8f29-9533d9ce85de;1770281165.866;Cognitive_Model;production_selected;3;;t-i-x-1-visually-attend-current-task-human-role
332381c0-0245-11f1-8f29-9533d9ce85de;1770281165.916;Cognitive_Model;production_selected;3;;detected-sound
332ad4c0-0245-11f1-8f29-9533d9ce85de;1770281165.964;Aircraft;cabin_altitude;2;;103.400000
3358e9a0-0245-11f1-8f29-9533d9ce85de;1770281166.267;Cognitive_Model;production_selected;3;;encode-sound
338e5180-0245-11f1-8f29-9533d9ce85de;1770281166.616;Cognitive_Model;production_selected;3;;sound-encoded-from-atc-not-in-atc-task
33b4c540-0245-11f1-8f29-9533d9ce85de;1770281166.868;Cognitive_Model;production_selected;3;;t-i-x-1-visually-attend-current-task-human-role
33bc6660-0245-11f1-8f29-9533d9ce85de;1770281166.919;Cognitive_Model;production_selected;3;;t-i-x-2-visually-encode-allocation-item
33c40780-0245-11f1-8f29-9533d9ce85de;1770281166.969;Cognitive_Model;production_selected;3;;t-i-x-3-form-task-item-allocation-human-role-representation
33c762e0-0245-11f1-8f29-9533d9ce85de;1770281166.991;Aircraft;cabin_altitude;2;;103.300000
33d349c0-0245-11f1-8f29-9533d9ce85de;1770281167.069;Cognitive_Model;production_selected;3;;t-i-x-4-visually-attend-current-task-autonomy_role
33d9b260-0245-11f1-8f29-9533d9ce85de;1770281167.110;Cognitive_Model;production_selected;3;;t-i-x-5-visually-encode-allocation-item
33daeae0-0245-11f1-8f29-9533d9ce85de;1770281167.119;Cognitive_Model;production_selected;3;;t-i-x-6-form-task-item-allocation-autonomy-role-representation
33e28c00-0245-11f1-8f29-9533d9ce85de;1770281167.169;Cognitive_Model;production_selected;3;;t-i-x-7-decide-crosscheck
33f1f550-0245-11f1-8f29-9533d9ce85de;1770281167.269;Cognitive_Model;production_selected;3;;t-i-x-1-visually-attend-tars-input-supporter
33f99670-0245-11f1-8f29-9533d9ce85de;1770281167.319;Cognitive_Model;production_selected;3;;t-i-x-2-visually-encode-tars-input
33f99671-0245-11f1-8f29-9533d9ce85de;1770281167.319;Cognitive_Model;production_selected;3;;t-i-x-3-form-tars-input-representation
34013790-0245-11f1-8f29-9533d9ce85de;1770281167.369;Cognitive_Model;production_selected;3;;t-i-pitot-heat-tars-input-is-on-and-distrust
341079d0-0245-11f1-8f29-9533d9ce85de;1770281167.470;Cognitive_Model;production_selected;3;;perform-visually-attend-pitot-static-switch
3410a0e0-0245-11f1-8f29-9533d9ce85de;1770281167.470;Cognitive_Model;production_selected;3;;x-a-visually-encode-aircraft-component
34181af0-0245-11f1-8f29-9533d9ce85de;1770281167.520;Cognitive_Model;production_selected;3;;form-pitot-heat-status-representation-has-tars-input
342ed740-0245-11f1-8f29-9533d9ce85de;1770281167.669;Cognitive_Model;production_selected;3;;t-i-pitot-heat-status-correspond-to-tars-input
3445e1b0-0245-11f1-8f29-9533d9ce85de;1770281167.819;Cognitive_Model;production_selected;3;;pitot-heat-no-action
