Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,3.071000,10.472000,3000.910000,3011.382000,0.000000
Pitot-Static Switch,PITOT-STATIC,8.255000,14.141000,8000.430000,8014.571000,1.052000
ENGINE ANTI-ICE Switches,AS REQUIRED,8.247000,7.764000,0.190000,7.954000,1.301000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,13.467000,4.558000,0.140000,4.698000,0.802000
PAX SAFETY Switch,PAX SAFETY,6.254000,4.556000,6000.440000,6004.996000,0.902000
LANDING Light Switch,AS DESIRED,5.266000,2.004000,0.170000,2.174000,0.952000
ANTI-COLL Light Switch,ON,6.253000,3.154000,6000.340000,6003.494000,0.651000
EICAS,CHECKED,0.101000,3.206000,0.030000,3.236000,0.000000
Winds,CHECK,6.299000,2.906000,6000.160000,6003.066000,0.752000
Select Altitude,PRESET AS CLEARED,6.241000,5.797000,6000.430000,6006.227000,0.601000
