75.899	visual-location103	350	1010	text67	"CURRENT_TASK_VALUE"	20
76.499	visual-location85	1600	920	text49	"CAS"	5
77.184	visual-location83	1600	760	text47	"N1%"	5
77.534	visual-location84	1630	760	text48	"N2%"	5
77.884	visual-location102	350	990	text66	"CURRENT_TASK_OBJECT"	21
78.569	visual-location103	350	1010	text67	"CURRENT_TASK_VALUE"	20
79.069	visual-location104	770	990	text68	"HUMAN_ROLE"	12
79.254	visual-location101	320	990	text65	"AUTONOMY_ROLE"	15
79.454	visual-location111	440	1250	text73	"TARS_INPUT"	12
79.704	visual-location16	1780	1170	oval8	"LANDING_L"	11
81.204	visual-location102	350	990	text66	"CURRENT_TASK_OBJECT"	21
81.554	visual-location103	350	1010	text67	"CURRENT_TASK_VALUE"	20
82.454	visual-location91	1880	900	text55	"LATERAL_DEVIATION"	19
84.204	visual-location85	1600	920	text49	"CAS"	5
84.889	visual-location83	1600	760	text47	"N1%"	5
85.239	visual-location84	1630	760	text48	"N2%"	5
85.589	visual-location85	1600	920	text49	"CAS"	5
86.274	visual-location83	1600	760	text47	"N1%"	5
86.624	visual-location84	1630	760	text48	"N2%"	5
86.974	visual-location102	350	990	text66	"CURRENT_TASK_OBJECT"	21
87.659	visual-location103	350	1010	text67	"CURRENT_TASK_VALUE"	20
88.159	visual-location104	770	990	text68	"HUMAN_ROLE"	12
88.344	visual-location101	320	990	text65	"AUTONOMY_ROLE"	15
88.544	visual-location111	440	1250	text73	"TARS_INPUT"	12
88.744	visual-location18	1870	1170	oval9	"ANTI_COLL_L"	13
90.294	visual-location102	350	990	text66	"CURRENT_TASK_OBJECT"	21
90.644	visual-location103	350	1010	text67	"CURRENT_TASK_VALUE"	20
91.244	visual-location102	350	990	text66	"CURRENT_TASK_OBJECT"	21
91.929	visual-location103	350	1010	text67	"CURRENT_TASK_VALUE"	20
92.429	visual-location104	770	990	text68	"HUMAN_ROLE"	12
92.614	visual-location101	320	990	text65	"AUTONOMY_ROLE"	15
92.814	visual-location85	1600	920	text49	"CAS"	5
93.214	visual-location102	350	990	text66	"CURRENT_TASK_OBJECT"	21
93.564	visual-location103	350	1010	text67	"CURRENT_TASK_VALUE"	20
94.464	visual-location102	350	990	text66	"CURRENT_TASK_OBJECT"	21
95.149	visual-location103	350	1010	text67	"CURRENT_TASK_VALUE"	20
95.649	visual-location104	770	990	text68	"HUMAN_ROLE"	12
95.834	visual-location101	320	990	text65	"AUTONOMY_ROLE"	15
96.034	visual-location111	440	1250	text73	"TARS_INPUT"	12
97.484	visual-location102	350	990	text66	"CURRENT_TASK_OBJECT"	21
97.834	visual-location103	350	1010	text67	"CURRENT_TASK_VALUE"	20
98.734	visual-location102	350	990	text66	"CURRENT_TASK_OBJECT"	21
101.734	visual-location102	350	990	text66	"CURRENT_TASK_OBJECT"	21
102.419	visual-location103	350	1010	text67	"CURRENT_TASK_VALUE"	20
102.919	visual-location104	770	990	text68	"HUMAN_ROLE"	12
103.104	visual-location101	320	990	text65	"AUTONOMY_ROLE"	15
