Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,0.048000,10.094000,0.350000,10.444000,0.000000
Pitot-Static Switch,PITOT-STATIC,2.099000,21.601000,2000.040000,2021.641000,0.000000
ENGINE ANTI-ICE Switches,AS REQUIRED,7.932000,12.973000,0.710000,13.683000,0.901000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,15.691000,3.154000,0.140000,3.294000,0.952000
PAX SAFETY Switch,PAX SAFETY,0.051000,6.110000,0.330000,6.440000,0.000000
LANDING Light Switch,AS DESIRED,5.932000,1.853000,0.170000,2.023000,0.950000
ANTI-COLL Light Switch,ON,5.366000,2.904000,0.320000,3.224000,0.451000
EICAS,CHECKED,3.899000,0.000000,0.030000,0.030000,0.750000
Winds,CHECK,4.252000,0.000000,0.150000,0.150000,0.701000
Select Altitude,PRESET AS CLEARED,0.053000,0.000000,0.490000,0.490000,0.000000
