Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,0.055000,10.130000,0.630000,10.760000,0.000000
Pitot-Static Switch,PITOT-STATIC,2.052000,21.844000,2000.440000,2022.284000,0.000000
ENGINE ANTI-ICE Switches,AS REQUIRED,8.010000,10.675000,0.190000,10.865000,0.925000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,15.814000,3.211000,0.150000,3.361000,0.854000
PAX SAFETY Switch,PAX SAFETY,0.050000,6.113000,0.450000,6.563000,0.000000
LANDING Light Switch,AS DESIRED,6.985000,1.805000,0.140000,1.945000,1.005000
ANTI-COLL Light Switch,ON,5.110000,2.895000,0.310000,3.205000,0.501000
EICAS,CHECKED,4.055000,0.000000,0.030000,0.030000,0.705000
Winds,CHECK,4.246000,0.000000,0.180000,0.180000,0.851000
Select Altitude,PRESET AS CLEARED,0.049000,0.000000,0.490000,0.490000,0.000000
