Metric,Value
Total_FSM_Time_s,59.729000
Total_Human_Active_Time_s,44.451000
Total_TARS_Execution_Time_s,0.690000
Total_Active_Duration_s,45.141000
Total_Coordination_Time_s,6.967999
Active_Percentage,75.58
Coordination_Percentage,11.67
Num_Tasks,10
