Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.855000,18.854000,0.340000,19.194000,0.702000
Pitot-Static Switch,PITOT-STATIC,3.241000,1.854000,0.070000,1.924000,0.753000
ENGINE ANTI-ICE Switches,AS REQUIRED,6.343000,3.509000,0.040000,3.549000,0.652000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,4.893000,3.505000,0.030000,3.535000,0.754000
PAX SAFETY Switch,PAX SAFETY,3.235000,1.906000,0.030000,1.936000,0.552000
LANDING Light Switch,AS DESIRED,4.404000,3.007000,0.030000,3.037000,0.752000
ANTI-COLL Light Switch,ON,4.393000,3.004000,0.040000,3.044000,0.700000
EICAS,CHECKED,4.612000,1.852000,0.050000,1.902000,0.751000
Winds,CHECK,4.093000,2.705000,0.030000,2.735000,0.651000
Select Altitude,PRESET AS CLEARED,5.660000,4.255000,0.030000,4.285000,0.701000
