Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.835000,18.845000,0.320000,19.165000,0.701000
Pitot-Static Switch,PITOT-STATIC,3.237000,1.903000,0.060000,1.963000,0.600000
ENGINE ANTI-ICE Switches,AS REQUIRED,4.910000,3.559000,0.030000,3.589000,0.552000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,5.009000,3.558000,0.030000,3.588000,0.801000
PAX SAFETY Switch,PAX SAFETY,3.244000,1.903000,0.030000,1.933000,0.602000
LANDING Light Switch,AS DESIRED,6.480000,3.005000,0.030000,3.035000,0.702000
ANTI-COLL Light Switch,ON,4.351000,2.959000,0.030000,2.989000,0.654000
EICAS,CHECKED,3.191000,1.805000,0.030000,1.835000,0.552000
Winds,CHECK,4.149000,2.754000,0.070000,2.824000,0.750000
Select Altitude,PRESET AS CLEARED,5.677000,4.302000,0.030000,4.332000,0.753000
