Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.871000,18.863000,0.260000,19.123000,0.750000
Pitot-Static Switch,PITOT-STATIC,5.328000,1.856000,0.060000,1.916000,0.752000
ENGINE ANTI-ICE Switches,AS REQUIRED,4.895000,3.512000,0.040000,3.552000,0.752000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,5.966000,3.506000,0.030000,3.536000,0.752000
PAX SAFETY Switch,PAX SAFETY,3.238000,1.904000,0.030000,1.934000,0.450000
LANDING Light Switch,AS DESIRED,5.772000,2.957000,0.030000,2.987000,0.702000
ANTI-COLL Light Switch,ON,4.409000,3.004000,0.030000,3.034000,0.791000
EICAS,CHECKED,5.625000,1.804000,0.030000,1.834000,0.653000
Winds,CHECK,5.160000,2.706000,0.030000,2.736000,0.501000
Select Altitude,PRESET AS CLEARED,5.621000,4.232000,0.030000,4.262000,0.702000
