Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,0.055000,10.074000,0.640000,10.714000,0.000000
Pitot-Static Switch,PITOT-STATIC,2.061000,21.695000,2000.590000,2022.285000,0.000000
ENGINE ANTI-ICE Switches,AS REQUIRED,7.969000,12.973000,0.230000,13.203000,0.908000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,15.677000,3.156000,0.330000,3.486000,1.002000
PAX SAFETY Switch,PAX SAFETY,0.051000,6.110000,0.310000,6.420000,0.000000
LANDING Light Switch,AS DESIRED,7.296000,1.853000,0.190000,2.043000,0.952000
ANTI-COLL Light Switch,ON,4.909000,2.905000,0.320000,3.225000,0.500000
EICAS,CHECKED,4.357000,0.000000,0.030000,0.030000,0.701000
Winds,CHECK,5.669000,0.000000,0.170000,0.170000,0.902000
Select Altitude,PRESET AS CLEARED,0.057000,0.000000,0.470000,0.470000,0.000000
