Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,3.084000,10.437000,3000.300000,3010.737000,0.000000
Pitot-Static Switch,PITOT-STATIC,8.296000,14.189000,1.140000,15.329000,1.103000
ENGINE ANTI-ICE Switches,AS REQUIRED,8.203000,7.765000,8000.160000,8007.925000,1.403000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,13.064000,4.606000,0.150000,4.756000,0.953000
PAX SAFETY Switch,PAX SAFETY,6.258000,11.622000,6000.320000,6011.942000,0.953000
LANDING Light Switch,AS DESIRED,8.312000,1.653000,0.170000,1.823000,1.002000
ANTI-COLL Light Switch,ON,6.251000,3.166000,6000.320000,6003.486000,0.651000
EICAS,CHECKED,0.055000,3.212000,0.030000,3.242000,0.000000
Winds,CHECK,6.261000,2.858000,0.310000,3.168000,0.802000
Select Altitude,PRESET AS CLEARED,6.274000,5.814000,12000.490000,12006.304000,0.500000
