Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.865000,18.850000,0.340000,19.190000,0.703000
Pitot-Static Switch,PITOT-STATIC,3.243000,1.905000,0.070000,1.975000,0.801000
ENGINE ANTI-ICE Switches,AS REQUIRED,4.952000,3.558000,0.030000,3.588000,0.753000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,4.908000,3.557000,0.040000,3.597000,0.602000
PAX SAFETY Switch,PAX SAFETY,3.245000,1.855000,0.030000,1.885000,0.552000
LANDING Light Switch,AS DESIRED,6.823000,3.006000,0.030000,3.036000,0.751000
ANTI-COLL Light Switch,ON,4.398000,3.008000,0.030000,3.038000,0.701000
EICAS,CHECKED,3.193000,1.803000,0.030000,1.833000,0.652000
Winds,CHECK,5.475000,2.706000,0.040000,2.746000,0.651000
Select Altitude,PRESET AS CLEARED,5.662000,4.236000,0.040000,4.276000,0.651000
