Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,3.060000,17.515000,3000.940000,3018.455000,0.000000
Pitot-Static Switch,PITOT-STATIC,6.262000,24.547000,6001.020000,6025.567000,0.502000
ENGINE ANTI-ICE Switches,AS REQUIRED,8.155000,18.731000,0.280000,19.011000,0.902000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,12.551000,11.068000,0.150000,11.218000,0.901000
PAX SAFETY Switch,PAX SAFETY,4.256000,6.309000,4000.380000,4006.689000,0.550000
LANDING Light Switch,AS DESIRED,4.854000,3.155000,0.290000,3.445000,1.001000
ANTI-COLL Light Switch,ON,4.964000,8.916000,4000.330000,4009.246000,0.501000
EICAS,CHECKED,7.042000,1.854000,0.030000,1.884000,0.752000
Winds,CHECK,4.252000,2.906000,4000.170000,4003.076000,0.852000
Select Altitude,PRESET AS CLEARED,4.259000,0.000000,4000.430000,4000.430000,0.000000
