Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,0.051000,10.083000,0.350000,10.433000,0.000000
Pitot-Static Switch,PITOT-STATIC,2.058000,21.637000,2000.750000,2022.387000,0.000000
ENGINE ANTI-ICE Switches,AS REQUIRED,7.954000,12.921000,0.150000,13.071000,0.901000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,15.697000,3.205000,0.140000,3.345000,0.953000
PAX SAFETY Switch,PAX SAFETY,0.057000,7.160000,0.360000,7.520000,0.000000
LANDING Light Switch,AS DESIRED,5.919000,1.852000,0.160000,2.012000,1.002000
ANTI-COLL Light Switch,ON,5.271000,2.902000,0.310000,3.212000,0.501000
EICAS,CHECKED,5.005000,0.000000,0.030000,0.030000,0.751000
Winds,CHECK,4.249000,0.000000,0.160000,0.160000,0.799000
Select Altitude,PRESET AS CLEARED,0.058000,0.000000,0.430000,0.430000,0.000000
