Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,0.045000,10.138000,0.330000,10.468000,0.000000
Pitot-Static Switch,PITOT-STATIC,2.074000,23.899000,2000.030000,2023.929000,0.000000
ENGINE ANTI-ICE Switches,AS REQUIRED,7.997000,11.822000,0.930000,12.752000,0.902000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,17.964000,3.155000,0.180000,3.335000,0.852000
PAX SAFETY Switch,PAX SAFETY,0.045000,6.108000,0.370000,6.478000,0.000000
LANDING Light Switch,AS DESIRED,6.977000,1.851000,0.160000,2.011000,1.001000
ANTI-COLL Light Switch,ON,4.872000,2.855000,0.320000,3.175000,0.501000
EICAS,CHECKED,4.298000,0.000000,0.030000,0.030000,0.651000
Winds,CHECK,4.255000,0.000000,0.180000,0.180000,0.852000
Select Altitude,PRESET AS CLEARED,0.046000,0.000000,0.430000,0.430000,0.000000
