Metric,Value
Total_FSM_Time_s,67.025000
Total_Human_Active_Time_s,44.625000
Total_TARS_Execution_Time_s,0.690000
Total_Active_Duration_s,45.315000
Total_Coordination_Time_s,7.198999
Active_Percentage,67.61
Coordination_Percentage,10.74
Num_Tasks,10
