Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.876000,18.881000,0.260000,19.141000,0.752000
Pitot-Static Switch,PITOT-STATIC,3.250000,1.905000,0.070000,1.975000,0.803000
ENGINE ANTI-ICE Switches,AS REQUIRED,8.005000,3.557000,0.030000,3.587000,0.552000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,4.959000,3.558000,0.030000,3.588000,0.854000
PAX SAFETY Switch,PAX SAFETY,5.671000,1.854000,0.030000,1.884000,0.651000
LANDING Light Switch,AS DESIRED,4.350000,2.956000,0.030000,2.986000,0.703000
ANTI-COLL Light Switch,ON,7.892000,3.008000,0.030000,3.038000,0.754000
EICAS,CHECKED,3.190000,1.854000,0.060000,1.914000,0.702000
Winds,CHECK,5.163000,2.756000,0.030000,2.786000,0.703000
Select Altitude,PRESET AS CLEARED,5.669000,4.296000,0.120000,4.416000,0.725000
