Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.882000,18.881000,0.030000,18.911000,0.753000
Pitot-Static Switch,PITOT-STATIC,5.983000,1.853000,0.070000,1.923000,0.752000
ENGINE ANTI-ICE Switches,AS REQUIRED,5.970000,3.508000,0.030000,3.538000,0.652000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,6.404000,3.515000,0.030000,3.545000,0.751000
PAX SAFETY Switch,PAX SAFETY,4.606000,1.856000,0.030000,1.886000,0.754000
LANDING Light Switch,AS DESIRED,4.341000,3.006000,0.030000,3.036000,0.703000
ANTI-COLL Light Switch,ON,4.361000,3.008000,0.030000,3.038000,0.700000
EICAS,CHECKED,3.215000,1.804000,0.030000,1.834000,0.652000
Winds,CHECK,5.151000,2.756000,0.030000,2.786000,0.651000
Select Altitude,PRESET AS CLEARED,5.681000,4.257000,0.030000,4.287000,0.653000
