Metric,Value
Total_FSM_Time_s,64.917000
Total_Human_Active_Time_s,44.560000
Total_TARS_Execution_Time_s,0.720000
Total_Active_Duration_s,45.280000
Total_Coordination_Time_s,7.062000
Active_Percentage,69.75
Coordination_Percentage,10.88
Num_Tasks,10
