Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.848000,18.866000,0.400000,19.266000,0.702000
Pitot-Static Switch,PITOT-STATIC,5.372000,1.904000,0.030000,1.934000,0.854000
ENGINE ANTI-ICE Switches,AS REQUIRED,4.920000,3.556000,0.040000,3.596000,0.701000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,5.976000,3.556000,0.030000,3.586000,0.852000
PAX SAFETY Switch,PAX SAFETY,3.238000,1.902000,0.030000,1.932000,0.702000
LANDING Light Switch,AS DESIRED,5.762000,3.005000,0.030000,3.035000,0.702000
ANTI-COLL Light Switch,ON,4.357000,2.958000,0.030000,2.988000,0.692000
EICAS,CHECKED,5.614000,1.856000,0.070000,1.926000,0.552000
Winds,CHECK,5.163000,2.707000,0.030000,2.737000,0.604000
Select Altitude,PRESET AS CLEARED,5.667000,4.250000,0.030000,4.280000,0.701000
