Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,0.048000,10.112000,0.600000,10.712000,0.000000
Pitot-Static Switch,PITOT-STATIC,2.065000,21.678000,2000.630000,2022.308000,0.000000
ENGINE ANTI-ICE Switches,AS REQUIRED,7.992000,12.944000,0.200000,13.144000,0.902000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,15.689000,3.186000,0.170000,3.356000,1.008000
PAX SAFETY Switch,PAX SAFETY,0.054000,8.198000,0.330000,8.528000,0.000000
LANDING Light Switch,AS DESIRED,5.923000,1.813000,0.140000,1.953000,0.944000
ANTI-COLL Light Switch,ON,5.270000,2.892000,0.320000,3.212000,0.507000
EICAS,CHECKED,6.071000,0.000000,0.080000,0.080000,0.701000
Winds,CHECK,6.336000,0.000000,0.140000,0.140000,0.848000
Select Altitude,PRESET AS CLEARED,0.048000,0.000000,0.500000,0.500000,0.000000
