Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,0.052000,10.091000,0.790000,10.881000,0.000000
Pitot-Static Switch,PITOT-STATIC,2.053000,21.602000,2000.670000,2022.272000,0.000000
ENGINE ANTI-ICE Switches,AS REQUIRED,8.003000,12.925000,0.230000,13.155000,0.852000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,15.640000,3.205000,0.160000,3.365000,0.951000
PAX SAFETY Switch,PAX SAFETY,0.049000,6.113000,0.370000,6.483000,0.000000
LANDING Light Switch,AS DESIRED,5.930000,1.855000,0.140000,1.995000,1.000000
ANTI-COLL Light Switch,ON,5.318000,2.856000,0.340000,3.196000,0.501000
EICAS,CHECKED,3.843000,0.000000,0.030000,0.030000,0.702000
Winds,CHECK,4.262000,0.000000,0.180000,0.180000,0.802000
Select Altitude,PRESET AS CLEARED,0.053000,0.000000,0.450000,0.450000,0.000000
