uuid;timestamp;agent;source;type;igs_timestamp;value
27a317b0-0174-11f1-a92d-bf6711fe544f;1770191381.804;Cognitive_Model;start;4;;true
27a33ec0-0174-11f1-a92d-bf6711fe544f;1770191381.804;Cognitive_Model;production_selected;3;;get-where-should-i-look-next
27aab8d0-0174-11f1-a92d-bf6711fe544f;1770191381.854;Cognitive_Model;production_selected;3;;attend-to-next-aoi
27ac6680-0174-11f1-a92d-bf6711fe544f;1770191381.864;TARS Agent;request_takeoff_clearance;5;;
27ac6681-0174-11f1-a92d-bf6711fe544f;1770191381.864;ATC_Agent;speech_output;3;;C-POLY, Montreal-Tower, wind-0-9-0-at-4, cleared-for-takeoff runway-zero-six-left. Climb-to-5000ft.
27ac6682-0174-11f1-a92d-bf6711fe544f;1770191381.864;Shared Interface;countdown_complete;5;;
27ac6683-0174-11f1-a92d-bf6711fe544f;1770191381.864;TARS Agent;action_time;3;;transition_action:0.29
27ac6684-0174-11f1-a92d-bf6711fe544f;1770191381.865;ATC_Agent;is_speaking;4;;true
27ac6685-0174-11f1-a92d-bf6711fe544f;1770191381.865;TARS Agent;current_state;3;;"{""procedure"": ""BEFORE TAKEOFF"", ""classification"": ""NORM"", ""type"": ""Checklist"", ""category"": ""Switch / Lever"", ""task_object"": ""Takeoff clearance"", ""value"": ""CONFIRM"", ""human_role"": ""performer"", ""autonomy_role"": """", ""information_requirement"": ""ATC clearance status, checklist completion status."", ""interaction"": """", ""delay_before_action"": 0.0, ""delay_after_action"": 0.0, ""callout"": ""Cessna Charlie Papa Oscar Lima Yankee cleared for takeoff, will maintain runway heading, climb to 5000ft proceed direct AGMEB then OMEKI"", ""condition"": null, ""condition_type"": null, ""condition_function"": null, ""monitor_scope"": null}"
27ac6686-0174-11f1-a92d-bf6711fe544f;1770191381.865;TARS Agent;current_procedure;3;;BEFORE TAKEOFF
27ac6687-0174-11f1-a92d-bf6711fe544f;1770191381.865;TARS Agent;interaction_message;3;;
27ac6688-0174-11f1-a92d-bf6711fe544f;1770191381.865;TARS Agent;current_task_object;3;;Takeoff clearance
27ac6689-0174-11f1-a92d-bf6711fe544f;1770191381.865;TARS Agent;current_task_value;3;;CONFIRM
27ac668a-0174-11f1-a92d-bf6711fe544f;1770191381.865;TARS Agent;current_task_autonomy_role;3;;
27ac8d90-0174-11f1-a92d-bf6711fe544f;1770191381.865;TARS Agent;current_task_human_role;3;;performer
