Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.882000,18.925000,0.030000,18.955000,0.701000
Pitot-Static Switch,PITOT-STATIC,3.296000,1.904000,0.070000,1.974000,0.802000
ENGINE ANTI-ICE Switches,AS REQUIRED,4.912000,3.557000,0.030000,3.587000,0.701000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,4.915000,3.557000,0.030000,3.587000,0.805000
PAX SAFETY Switch,PAX SAFETY,3.236000,1.854000,0.030000,1.884000,0.602000
LANDING Light Switch,AS DESIRED,6.843000,3.005000,0.030000,3.035000,0.752000
ANTI-COLL Light Switch,ON,4.358000,3.007000,0.030000,3.037000,0.702000
EICAS,CHECKED,3.188000,1.804000,0.030000,1.834000,0.652000
Winds,CHECK,5.516000,2.754000,0.030000,2.784000,0.652000
Select Altitude,PRESET AS CLEARED,5.671000,4.258000,0.050000,4.308000,0.702000
