Metric,Current_N,Required_N,Final_Mean,Final_Std,Final_CI_Width,Target_Margin_Error,Current_Relative_Precision_Pct,Target_Relative_Precision_Pct,Status
total_fsm_time,12,6,47.457249999046326,2.200616398333219,1.3982049529436558,2.3728624999523165,2.946240991569788,5.0,Sufficient
active_time,12,11,34.70283321539561,2.5468392819828476,1.6181844782748327,1.7351416607697805,4.662975118576022,5.0,Sufficient
coordination_time,12,2,4.788833439350128,0.10356105942063745,0.06579955794372021,0.23944167196750643,1.3740205997360722,5.0,Sufficient
workload_overall,12,2,0.16103812254024993,0.0021941373812405444,0.0013940883818792731,0.008051906127012497,0.8656884220261785,5.0,Sufficient
jae_data,12,2,0.9371007457630601,0.03230706005342235,0.020526926644715157,0.04685503728815301,2.1904717008842565,5.0,Sufficient
