Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,3.061000,10.418000,3000.840000,3011.258000,0.000000
Pitot-Static Switch,PITOT-STATIC,8.315000,13.124000,0.460000,13.584000,1.000000
ENGINE ANTI-ICE Switches,AS REQUIRED,7.134000,5.711000,8000.210000,8005.921000,0.952000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,12.465000,11.066000,0.170000,11.236000,0.803000
PAX SAFETY Switch,PAX SAFETY,6.312000,2.054000,6000.340000,6002.394000,0.902000
LANDING Light Switch,AS DESIRED,4.188000,3.206000,0.180000,3.386000,1.003000
ANTI-COLL Light Switch,ON,6.255000,3.155000,6000.310000,6003.465000,0.600000
EICAS,CHECKED,0.054000,2.856000,0.030000,2.886000,0.000000
Winds,CHECK,6.260000,5.484000,6000.300000,6005.784000,0.853000
Select Altitude,PRESET AS CLEARED,6.283000,0.000000,0.430000,0.430000,0.550000
