Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.865000,18.907000,0.290000,19.197000,0.802000
Pitot-Static Switch,PITOT-STATIC,3.296000,1.903000,0.060000,1.963000,0.852000
ENGINE ANTI-ICE Switches,AS REQUIRED,8.015000,3.506000,0.030000,3.536000,0.652000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,4.910000,3.508000,0.140000,3.648000,0.754000
PAX SAFETY Switch,PAX SAFETY,5.717000,1.905000,0.060000,1.965000,0.701000
LANDING Light Switch,AS DESIRED,4.353000,2.955000,0.030000,2.985000,0.651000
ANTI-COLL Light Switch,ON,7.890000,2.957000,0.030000,2.987000,0.752000
EICAS,CHECKED,3.186000,1.854000,0.020000,1.874000,0.751000
Winds,CHECK,5.116000,2.756000,0.030000,2.786000,0.501000
Select Altitude,PRESET AS CLEARED,5.714000,4.308000,0.040000,4.348000,0.752000
