agent;date;id;igs_timestamp;record_id;source;time;type;value
TARS Agent;2026-02-05;930b3eb1-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;action_about_to_fire;03:55:56.315616000;3;"b'{""procedure"": ""BEFORE TAKEOFF"", ""classification"": ""NORM"", ""type"": ""Checklist"", ""category"": ""Switch / Lever"", ""task_object"": ""Takeoff clearance"", ""value"": ""CONFIRM"", ""human_role"": ""supporter"", ""autonomy_role"": ""performer"", ""information_requirement"": ""ATC clearance status, checklist completion status."", ""interaction"": """", ""delay_before_action"": 3.0, ""delay_after_action"": 0.0, ""callout"": ""Cessna Charlie Papa Oscar Lima Yankee cleared for takeoff, will maintain runway heading, climb to 5000ft proceed direct AGMEB then OMEKI"", ""condition"": null, ""condition_type"": null, ""condition_function"": null, ""monitor_scope"": null}'"
TARS Agent;2026-02-05;930b3eb2-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;action_time;03:55:56.315696000;3;b'action:0.61'
TARS Agent;2026-02-05;9312dfd0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;action_time;03:55:56.365343000;3;b'transition_action:0.04'
TTS_Agent;2026-02-05;9312dfd1-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;is_speaking;03:55:56.365458000;4;b'\x01'
TARS Agent;2026-02-05;9312dfd2-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;current_state;03:55:56.365550000;3;"b'{""procedure"": ""BEFORE TAKEOFF"", ""classification"": ""NORM"", ""type"": ""Checklist"", ""category"": ""Switch / Lever"", ""task_object"": ""Pitot-Static Switch"", ""value"": ""PITOT-STATIC"", ""human_role"": ""supporter"", ""autonomy_role"": ""performer"", ""information_requirement"": ""Pitot-static switch status"", ""interaction"": ""pitot_static_switch"", ""delay_before_action"": 0.0, ""delay_after_action"": 8.0, ""callout"": """", ""condition"": null, ""condition_type"": null, ""condition_function"": null, ""monitor_scope"": null}'"
TTS_Agent;2026-02-05;9312dfd3-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;current_text;03:55:56.365590000;3;b'Pitot heat is ON'
TARS Agent;2026-02-05;9312dfd4-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;current_procedure;03:55:56.365798000;3;b'BEFORE TAKEOFF'
TARS Agent;2026-02-05;9312dfd5-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;interaction_message;03:55:56.365848000;3;b''
TARS Agent;2026-02-05;931306e0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;current_task_object;03:55:56.366847000;3;b'Pitot-Static Switch'
TARS Agent;2026-02-05;931306e1-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;current_task_value;03:55:56.366883000;3;b'PITOT-STATIC'
TARS Agent;2026-02-05;931306e2-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;current_task_autonomy_role;03:55:56.366912000;3;b'performer'
TARS Agent;2026-02-05;931306e3-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;current_task_human_role;03:55:56.366949000;3;b'supporter'
TARS Agent;2026-02-05;931306e4-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;next_state;03:55:56.366990000;3;"b'{""procedure"": ""BEFORE TAKEOFF"", ""classification"": ""NORM"", ""type"": ""Checklist"", ""category"": ""Switch / Lever"", ""task_object"": ""ENGINE ANTI-ICE Switches"", ""value"": ""AS REQUIRED"", ""human_role"": ""performer"", ""autonomy_role"": ""supporter"", ""information_requirement"": ""Outside air temperature, engine anti-ice switch position."", ""interaction"": ""engine_anti_ice_requirement"", ""delay_before_action"": 0.0, ""delay_after_action"": ""is_acked"", ""callout"": """", ""condition"": null, ""condition_type"": null, ""condition_function"": null, ""monitor_scope"": null}'"
TARS Agent;2026-02-05;93132df0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;countdown_next;03:55:56.367020000;1;b'\x08\x00\x00\x00'
TARS Agent;2026-02-05;93132df1-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;countdown_max_next;03:55:56.367048000;1;b'\x08\x00\x00\x00'
TARS Agent;2026-02-05;93132df2-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;action_about_to_fire;03:55:56.367079000;3;"b'{""procedure"": ""BEFORE TAKEOFF"", ""classification"": ""NORM"", ""type"": ""Checklist"", ""category"": ""Switch / Lever"", ""task_object"": ""Pitot-Static Switch"", ""value"": ""PITOT-STATIC"", ""human_role"": ""supporter"", ""autonomy_role"": ""performer"", ""information_requirement"": ""Pitot-static switch status"", ""interaction"": ""pitot_static_switch"", ""delay_before_action"": 0.0, ""delay_after_action"": 8.0, ""callout"": """", ""condition"": null, ""condition_type"": null, ""condition_function"": null, ""monitor_scope"": null}'"
