end_date;end_time;has_been_consolidated;id;is_raw;name;platform;start_date;start_time;tag
2026-02-03;02:46:39.756408000;False;37d1c250-00aa-11f1-bbdd-9d3344d32583;True;02/02/26 - 21:44:10;;2026-02-03;02:44:10.613303000;
2026-02-03;03:09:07.277429000;False;a7f66100-00ad-11f1-bbdd-9d3344d32583;True;02/02/26 - 22:08:47;;2026-02-03;03:08:47.248362000;
