Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,0.056000,10.139000,0.630000,10.769000,0.000000
Pitot-Static Switch,PITOT-STATIC,2.051000,21.795000,2000.500000,2022.295000,0.000000
ENGINE ANTI-ICE Switches,AS REQUIRED,8.004000,10.617000,0.150000,10.767000,0.903000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,15.839000,3.257000,0.150000,3.407000,0.802000
PAX SAFETY Switch,PAX SAFETY,0.047000,6.063000,0.360000,6.423000,0.000000
LANDING Light Switch,AS DESIRED,5.931000,1.805000,0.230000,2.035000,1.005000
ANTI-COLL Light Switch,ON,5.121000,2.905000,0.360000,3.265000,0.451000
EICAS,CHECKED,4.051000,0.000000,0.030000,0.030000,0.652000
Winds,CHECK,4.307000,0.000000,0.180000,0.180000,0.901000
Select Altitude,PRESET AS CLEARED,0.055000,0.000000,0.510000,0.510000,0.000000
