Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,0.049000,10.071000,0.670000,10.741000,0.000000
Pitot-Static Switch,PITOT-STATIC,2.305000,21.342000,2000.000000,2021.342000,0.000000
ENGINE ANTI-ICE Switches,AS REQUIRED,7.700000,12.925000,0.680000,13.605000,0.906000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,15.707000,3.156000,0.160000,3.316000,0.951000
PAX SAFETY Switch,PAX SAFETY,0.052000,6.111000,0.320000,6.431000,0.000000
LANDING Light Switch,AS DESIRED,5.927000,1.803000,0.240000,2.043000,1.002000
ANTI-COLL Light Switch,ON,7.286000,2.856000,0.340000,3.196000,0.501000
EICAS,CHECKED,4.350000,0.000000,0.030000,0.030000,0.652000
Winds,CHECK,6.380000,0.000000,0.150000,0.150000,0.802000
Select Altitude,PRESET AS CLEARED,0.049000,0.000000,0.450000,0.450000,0.000000
