Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.894000,18.874000,0.030000,18.904000,0.700999
Pitot-Static Switch,PITOT-STATIC,5.353000,1.907000,0.060000,1.967000,0.852000
ENGINE ANTI-ICE Switches,AS REQUIRED,4.908000,3.557000,0.030000,3.587000,0.703000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,4.915000,3.509000,0.030000,3.539000,0.753000
PAX SAFETY Switch,PAX SAFETY,3.230000,1.855000,0.030000,1.885000,0.649000
LANDING Light Switch,AS DESIRED,4.458000,3.004000,0.030000,3.034000,0.751000
ANTI-COLL Light Switch,ON,4.316000,3.006000,0.030000,3.036000,0.702000
EICAS,CHECKED,3.228000,1.803000,0.030000,1.833000,0.552000
Winds,CHECK,4.100000,2.705000,0.030000,2.735000,0.652000
Select Altitude,PRESET AS CLEARED,5.678000,4.279000,0.030000,4.309000,0.752000
