Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,3.110000,10.478000,3000.310000,3010.788000,0.000000
Pitot-Static Switch,PITOT-STATIC,8.204000,13.499000,8001.120000,8014.619000,1.108000
ENGINE ANTI-ICE Switches,AS REQUIRED,7.596000,5.671000,0.230000,5.901000,0.954000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,13.033000,11.678000,0.230000,11.908000,0.954000
PAX SAFETY Switch,PAX SAFETY,6.245000,2.054000,6000.340000,6002.394000,0.952000
LANDING Light Switch,AS DESIRED,5.983000,3.207000,0.180000,3.387000,1.003000
ANTI-COLL Light Switch,ON,6.266000,3.208000,6000.360000,6003.568000,0.902000
EICAS,CHECKED,0.047000,2.910000,0.030000,2.940000,0.000000
Winds,CHECK,6.254000,5.009000,6000.140000,6005.149000,0.853000
Select Altitude,PRESET AS CLEARED,6.277000,0.810000,6000.500000,6001.310000,1.152000
