Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,3.065000,10.445000,3000.890000,3011.335000,0.000000
Pitot-Static Switch,PITOT-STATIC,8.255000,28.601000,8000.370000,8028.971000,1.004000
ENGINE ANTI-ICE Switches,AS REQUIRED,9.360000,22.189000,0.140000,22.329000,1.150000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,13.401000,18.181000,0.140000,18.321000,0.801000
PAX SAFETY Switch,PAX SAFETY,6.224000,4.557000,6000.330000,6004.887000,0.851000
LANDING Light Switch,AS DESIRED,5.862000,1.602000,0.170000,1.772000,1.450000
ANTI-COLL Light Switch,ON,6.253000,5.156000,6000.330000,6005.486000,0.852000
EICAS,CHECKED,0.056000,3.204000,0.030000,3.234000,0.000000
Winds,CHECK,6.254000,3.206000,0.160000,3.366000,0.802000
Select Altitude,PRESET AS CLEARED,6.258000,2.855000,12000.450000,12003.305000,1.102000
