Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,0.051000,10.134000,0.720000,10.854000,0.000000
Pitot-Static Switch,PITOT-STATIC,2.056000,21.716000,2000.550000,2022.266000,0.000000
ENGINE ANTI-ICE Switches,AS REQUIRED,8.001000,10.631000,0.200000,10.831000,0.903000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,15.696000,3.164000,0.160000,3.324000,0.854000
PAX SAFETY Switch,PAX SAFETY,0.044000,6.072000,0.330000,6.402000,0.000000
LANDING Light Switch,AS DESIRED,5.882000,1.804000,0.130000,1.934000,0.957000
ANTI-COLL Light Switch,ON,5.321000,2.908000,0.320000,3.228000,0.450000
EICAS,CHECKED,3.949000,0.000000,0.050000,0.050000,0.701000
Winds,CHECK,4.208000,0.000000,0.150000,0.150000,0.752000
Select Altitude,PRESET AS CLEARED,0.051000,0.000000,0.440000,0.440000,0.000000
