Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.857000,18.938000,0.030000,18.968000,0.702000
Pitot-Static Switch,PITOT-STATIC,3.283000,1.852000,0.070000,1.922000,0.752000
ENGINE ANTI-ICE Switches,AS REQUIRED,4.972000,3.511000,0.030000,3.541000,0.702000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,4.912000,3.555000,0.130000,3.685000,0.852000
PAX SAFETY Switch,PAX SAFETY,3.232000,1.904000,0.030000,1.934000,0.652000
LANDING Light Switch,AS DESIRED,6.478000,3.007000,0.030000,3.037000,0.752000
ANTI-COLL Light Switch,ON,4.348000,3.007000,0.030000,3.037000,0.701000
EICAS,CHECKED,3.240000,1.804000,0.030000,1.834000,0.602000
Winds,CHECK,4.103000,2.706000,0.030000,2.736000,0.702000
Select Altitude,PRESET AS CLEARED,5.667000,4.275000,0.050000,4.325000,0.751000
