Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.819000,18.855000,0.320000,19.175000,0.800000
Pitot-Static Switch,PITOT-STATIC,3.292000,1.903000,0.060000,1.963000,0.801000
ENGINE ANTI-ICE Switches,AS REQUIRED,5.006000,3.506000,0.030000,3.536000,0.652000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,4.817000,3.560000,0.030000,3.590000,0.750000
PAX SAFETY Switch,PAX SAFETY,3.282000,1.903000,0.030000,1.933000,0.751000
LANDING Light Switch,AS DESIRED,4.349000,3.005000,0.030000,3.035000,0.701000
ANTI-COLL Light Switch,ON,5.768000,3.008000,0.040000,3.048000,0.702000
EICAS,CHECKED,3.238000,1.854000,0.030000,1.884000,0.702000
Winds,CHECK,4.105000,2.703000,0.040000,2.743000,0.651000
Select Altitude,PRESET AS CLEARED,5.670000,4.271000,0.030000,4.301000,0.651000
